column,row,site,lat,lon,year,month,date,aqua_day,flag,aqua_night,flag,terra_day,flag,terra_night,flag,lstAvg
422,612,52707,36.48,93.41,2019,10,11,21.0,2,-1.1299999999999955,1,9.0,2,0.22216172325738626,3,7.273040430814348
449,749,52818,36.25,94.55,2019,10,11,17.11931773153509,3,-4.7099999999999795,1,8.828309147897073,3,-8.321576744055172,3,3.2290125338442532
448,914,52825,36.26,96.26,2019,10,11,17.0,2,-1.25,1,9.0,2,-0.2699999999999818,1,6.1200000000000045
458,1098,52836,36.18,98.06,2019,10,11,8.775766359349888,3,-7.269999999999982,1,21.634597123130533,3,-6.0,2,4.28509087062011
584,732,52908,35.13,93.05,2019,10,11,6.415025644402448,3,-7.0,2,1.0,2,-13.789999999999964,1,-3.343743588899379
949,165,55248,32.09,84.25,2019,10,11,32.13000000000005,1,-9.189999999999998,1,25.210000000000036,1,-3.2899999999999636,1,11.215000000000032
1045,1038,55299,31.29,92.04,2019,10,11,14.0,2,-4.25,1,14.0,2,-3.6499999999999773,1,5.025000000000006
1179,18,55437,30.17,81.15,2019,10,11,23.77000000000004,1,-10.049999999999955,1,22.53000000000003,1,-5.569999999999993,1,7.67000000000003
1165,1035,55493,30.29,91.06,2019,10,11,0.0,2,-2.8699999999999477,1,8.0,2,-2.269999999999982,1,0.7150000000000176
704,764,56004,34.13,92.26,2019,10,11,10.990000000000009,1,-7.169999999999959,1,8.990000000000009,1,-7.75,1,1.2650000000000148
710,1090,56021,34.08,95.49,2019,10,11,7.810000000000002,1,-10.289999999999964,1,14.406342391463625,3,-8.649999999999977,1,0.8190855978659215
185,358,52602,38.45,93.2,2019,10,12,20.49000000000001,1,0.2300000000000182,1,16.910000000000025,1,2.090000000000032,1,9.930000000000021
422,612,52707,36.48,93.41,2019,10,12,21.27000000000004,1,-2.329999999999984,1,18.110000000000014,1,-1.3835376007122235,3,8.916615599821961
449,749,52818,36.25,94.55,2019,10,12,22.92485575477923,3,-3.0,2,28.73747134425807,3,-4.3381840307072075,3,11.081035767082522
448,914,52825,36.26,96.26,2019,10,12,22.350000000000023,1,-9.649999999999977,1,15.850000000000023,1,-13.629999999999995,1,3.730000000000018
458,1098,52836,36.18,98.06,2019,10,12,19.0,2,-9.129999999999995,1,14.627546206235039,3,-5.329999999999984,1,4.791886551558765
584,732,52908,35.13,93.05,2019,10,12,10.717022114825454,3,-7.869999999999948,1,2.0100000000000477,1,-12.0,2,-1.7857444712936115
